"Période";"Prix au détail du gaz hors TVA tranches I1 à I5";"Prix au détail du gaz hors TVA tranche I1";"Prix au détail du gaz hors TVA tranche I2";"Prix au détail du gaz hors TVA tranche I3";"Prix au détail du gaz hors TVA tranche I4";"Prix au détail du gaz hors TVA tranche I5";"Prix au détail du gaz hors TVA tranche I6";"Prix au détail du gaz hors TVA toutes tranches"
"PERIODE";"PX_GAZ_I_TRANCHES_I1_I5";"PX_GAZ_I_I1";"PX_GAZ_I_I2";"PX_GAZ_I_I3";"PX_GAZ_I_I4";"PX_GAZ_I_I5";"PX_GAZ_I_I6";"PX_GAZ_I_TTES_TRANCHES"
"2006-10";;;;;;;;
"2006-08";;;;;;;;
"2005-05";;;;;;;;
"2002-11";;;;;;;;
"2002-05";;;;;;;;
"1998-10";;;;;;;;
"1998-09";;;;;;;;
"1998-05";;;;;;;;
"1997-06";;;;;;;;
"1996-09";;;;;;;;
"1996-06";;;;;;;;
"1993-06";;;;;;;;
"1993-02";;;;;;;;
"1992-03";;;;;;;;
"1990-10";;;;;;;;
"1989-07";;;;;;;;
"1989-06";;;;;;;;
"1986-07";;;;;;;;
"1982-01";;;;;;;;
"1980-10";;;;;;;;
"1979-03";;;;;;;;
"2014-08";3.7927;6.1712;4.7371;3.7865;3.0608;2.6936;;
"2014-06";4.0814;5.5609;4.8804;3.8676;3.1375;2.914;;
"2013-10";3.9929;6.4926;4.9107;3.8685;3.1714;2.9772;;
"2011-01";3.6991;4.704;4.2229;3.5833;2.7169;2.6464;;
"2008-09";3.8282;4.5394;4.0989;3.904;3.5102;3.378;;
"2007-06";3.0684;3.68;3.4352;2.9946;2.6408;2.4168;;
"2005-11";;;;;;;;
"2005-04";;;;;;;;
"2005-03";;;;;;;;
"2004-09";;;;;;;;
"2004-03";;;;;;;;
"2003-06";;;;;;;;
"2002-09";;;;;;;;
"2001-12";;;;;;;;
"2001-04";;;;;;;;
"2000-11";;;;;;;;
"1997-11";;;;;;;;
"1995-08";;;;;;;;
"1993-03";;;;;;;;
"1992-07";;;;;;;;
"1991-11";;;;;;;;
"1991-03";;;;;;;;
"1989-09";;;;;;;;
"1986-08";;;;;;;;
"1985-02";;;;;;;;
"1984-08";;;;;;;;
"1984-05";;;;;;;;
"1983-02";;;;;;;;
"1982-07";;;;;;;;
"1982-06";;;;;;;;
"1981-07";;;;;;;;
"1981-01";;;;;;;;
"1980-03";;;;;;;;
"2017-07";3.3442;5.0469;4.0808;3.4529;2.3616;2.0429;1.8845;3.1906
"2013-05";4.2574;5.8853;4.9982;4.0468;3.1531;3.0585;;
"2013-01";4.2574;5.8853;4.9982;4.0468;3.1531;3.0585;;
"2011-03";3.6991;4.704;4.2229;3.5833;2.7169;2.6464;;
"2009-11";3.1781;4.3021;3.5097;3.1644;2.6787;2.4876;;
"2009-07";3.1781;4.3021;3.5097;3.1644;2.6787;2.4876;;
"2008-02";3.3923;3.9296;3.5979;3.3206;2.9611;2.9308;;
